,rank,no_of_weeks,book,authors,publisher,description,date,author1,author2,nyt_name,good_reads_book,author_link,avg_rating,no_of_ratings,year,author_place,place,geometry.type,geometry.coordinates
5423,9,13 weeks on the list,THE ROOSTER BAR,John Grisham,Doubleday,Three students at a sleazy for-profit law school hope to expose the student-loan banker who runs it.,2018-02-04,John Grisham,,THE ROOSTER BAR,The Rooster Bar,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,3.65,89698.0,2018,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
5424,10,16 weeks on the list,THE SUN AND HER FLOWERS,Rupi Kaur,Andrews McMeel,"A new collection of poetry from the author of ""Milk and Honey.""",2018-02-04,Rupi Kaur,,THE SUN AND HER FLOWERS,the sun and her flowers,https://www.goodreads.com/author/show/8075577.Rupi_Kaur?from_search=true&from_srp=true,4.1,328194.0,2018,,,,
5425,11,49 weeks on the list,MILK AND HONEY,Rupi Kaur,Andrews McMeel,Poetic approaches to surviving adversity and loss.,2018-02-04,Rupi Kaur,,MILK AND HONEY,milk and honey,https://www.goodreads.com/author/show/8075577.Rupi_Kaur?from_search=true&from_srp=true,3.99,690672.0,2018,,,,
5426,12,New this week,FOREVER MY GIRL,Heidi McLaughlin,Heidi McLaughlin,A musician returns to his hometown after 10 years and tries to rekindle a relationship with his high school girlfriend.,2018-02-04,Heidi McLaughlin,,FOREVER MY GIRL,"Forever My Girl (Beaumont Series, #1)",https://www.goodreads.com/author/show/6568302.Heidi_McLaughlin?from_search=true&from_srp=true,3.98,54124.0,2018,"Portland, The United States","Portland, The United States",Point,"[-122.6783853, 45.515232]"
5427,13,6 weeks on the list,NO MIDDLE NAME,Lee Child,Delacorte,A complete collection of Jack Reacher stories.,2018-02-04,Lee Child,,NO MIDDLE NAME,"No Middle Name: Jack Reacher, The Complete Collected Short Stories",https://www.goodreads.com/author/show/5091.Lee_Child?from_search=true&from_srp=true,3.95,21726.0,2018,The United Kingdom,The United Kingdom,Point,"[-3.435973, 55.378051]"
5428,14,9 weeks on the list,READY PLAYER ONE,Ernest Cline,Broadway,"It’s 2044, life on a resource-depleted Earth has grown increasingly grim, and the key to a vast fortune is hidden in a virtual-reality world.",2018-02-04,Ernest Cline,,READY PLAYER ONE,"Ready Player One (Ready Player One, #1)",https://www.goodreads.com/author/show/31712.Ernest_Cline?from_search=true&from_srp=true,4.23,1131644.0,2018,"Ashland, Ohio, The United States","Ashland, Ohio, The United States",Point,"[-82.3182178, 40.8686675]"
5429,15,8 weeks on the list,DARKER,E.L. James,Vintage,Christian Grey's tormented and difficult pursuit of Anastasia Steele is told from his perspective.,2018-02-04,E.L. James,,DARKER,"Fifty Shades Darker (Fifty Shades, #2)",https://www.goodreads.com/author/show/4725841.E_L_James?from_search=true&from_srp=true,3.83,883944.0,2018,"London, The United Kingdom","London, The United Kingdom",Point,"[-0.1275862, 51.5072178]"
5430,1,New this week,JUDGMENT ROAD,Christine Feehan,Berkley,A killer must choose between his motorcycle club and a woman who works in a nearby bar.,2018-02-11,Christine Feehan,,JUDGMENT ROAD,"Judgment Road (Torpedo Ink, #1)",https://www.goodreads.com/author/show/6268.Christine_Feehan?from_search=true&from_srp=true,4.17,9549.0,2018,The United States,The United States,Point,"[-95.712891, 37.09024]"
5431,2,4 weeks on the list,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,2018-02-11,A.J. Finn,,THE WOMAN IN THE WINDOW,The Woman in the Window,https://www.goodreads.com/author/show/7992137.A_J_Finn?from_search=true&from_srp=true,3.95,748640.0,2018,,,,
5432,3,New this week,FALL FROM GRACE,Danielle Steel,Delacorte,A widow left out of her huband's will tries to make a new life as a fashion designer.,2018-02-11,Danielle Steel,,FALL FROM GRACE,Fall from Grace,https://www.goodreads.com/author/show/14255.Danielle_Steel?from_search=true&from_srp=true,4.03,9184.0,2018,"New York, New York, The United States","New York, New York, The United States",Point,"[-74.0059728, 40.7127753]"
5433,4,3 weeks on the list,THE WIFE BETWEEN US,Greer Hendricks and Sarah Pekkanen,St. Martin's,"The events surrounding a hedge fund manager, his ex-wife and his fiancée are told from several points of view.",2018-02-11,Greer Hendricks,Sarah Pekkanen,THE WIFE BETWEEN US,The Wife Between Us,https://www.goodreads.com/author/show/16935182.Greer_Hendricks?from_search=true&from_srp=true,3.85,373194.0,2018,,,,
5434,5,14 weeks on the list,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,2018-02-11,Celeste Ng,,LITTLE FIRES EVERYWHERE,Little Fires Everywhere,https://www.goodreads.com/author/show/164692.Celeste_Ng?from_search=true&from_srp=true,4.08,1133137.0,2018,The United States,The United States,Point,"[-95.712891, 37.09024]"
5435,6,17 weeks on the list,ORIGIN,Dan Brown,Doubleday,A symbology professor goes on a perilous quest with a beautiful museum director.,2018-02-11,Dan Brown,,ORIGIN,"Origin (Robert Langdon, #5)",https://www.goodreads.com/author/show/630.Dan_Brown?from_search=true&from_srp=true,3.89,321016.0,2018,"Exeter, New Hampshire, The United States","Exeter, New Hampshire, The United States",Point,"[-70.9477546, 42.9814292]"
5436,7,18 weeks on the list,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,2018-02-11,Lisa Wingate,,BEFORE WE WERE YOURS,Before We Were Yours,https://www.goodreads.com/author/show/178832.Lisa_Wingate?from_search=true&from_srp=true,4.4,577881.0,2018,,,,
5437,8,10 weeks on the list,READY PLAYER ONE,Ernest Cline,Broadway,"It’s 2044, life on a resource-depleted Earth has grown increasingly grim, and the key to a vast fortune is hidden in a virtual-reality world.",2018-02-11,Ernest Cline,,READY PLAYER ONE,"Ready Player One (Ready Player One, #1)",https://www.goodreads.com/author/show/31712.Ernest_Cline?from_search=true&from_srp=true,4.23,1131644.0,2018,"Ashland, Ohio, The United States","Ashland, Ohio, The United States",Point,"[-82.3182178, 40.8686675]"
5438,9,New this week,ABOUT THAT KISS,Jill Shalvis,Avon,The fifth book in the Heartbreaker Bay series.,2018-02-11,Jill Shalvis,,ABOUT THAT KISS,"About That Kiss (Heartbreaker Bay, #5)",https://www.goodreads.com/author/show/22370.Jill_Shalvis?from_search=true&from_srp=true,4.01,5625.0,2018,,,,
5439,10,14 weeks on the list,THE ROOSTER BAR,John Grisham,Doubleday,Three students at a sleazy for-profit law school hope to expose the student-loan banker who runs it.,2018-02-11,John Grisham,,THE ROOSTER BAR,The Rooster Bar,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,3.65,89698.0,2018,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
5440,11,17 weeks on the list,THE SUN AND HER FLOWERS,Rupi Kaur,Andrews McMeel,"A new collection of poetry from the author of ""Milk and Honey.""",2018-02-11,Rupi Kaur,,THE SUN AND HER FLOWERS,the sun and her flowers,https://www.goodreads.com/author/show/8075577.Rupi_Kaur?from_search=true&from_srp=true,4.1,328194.0,2018,,,,
5441,12,2 weeks on the list,CITY OF ENDLESS NIGHT,Douglas Preston and Lincoln Child,Grand Central,A New York City detective and an F.B.I. special agent track down a killer who decapitates numerous victims.,2018-02-11,Douglas Preston,Lincoln Child,CITY OF ENDLESS NIGHT,"City of Endless Night (Pendergast, #17)",https://www.goodreads.com/author/show/12577.Douglas_Preston?from_search=true&from_srp=true,4.07,19610.0,2018,"Cambridge, Massachusetts, The United States","Cambridge, Massachusetts, The United States",Point,"[-71.10973349999999, 42.3736158]"
5442,13,New this week,SISTERS LIKE US,Susan Mallery,MIRA,A mother's high standards cast a shadow over her daughters who are dealing with divorce and pregnancy.,2018-02-11,Susan Mallery,,SISTERS LIKE US,"Sisters Like Us (Mischief Bay, #4)",https://www.goodreads.com/author/show/8716.Susan_Mallery?from_search=true&from_srp=true,4.03,8728.0,2018,,,,
5443,14,50 weeks on the list,MILK AND HONEY,Rupi Kaur,Andrews McMeel,Poetic approaches to surviving adversity and loss.,2018-02-11,Rupi Kaur,,MILK AND HONEY,milk and honey,https://www.goodreads.com/author/show/8075577.Rupi_Kaur?from_search=true&from_srp=true,3.99,690672.0,2018,,,,
5444,15,New this week,NEED TO KNOW,Karen Cleveland,Ballantine,A C.I.A. analyst's job and family are threatened when she discovers Russian agents in the United States.,2018-02-11,Karen Cleveland,,,,,,,2018,,,,
5445,1,New this week,DARK IN DEATH,J.D. Robb,St. Martin's,Lieutenant Eve Dallas must find a killer inspired by police thrillers before another victim is murdered.,2018-02-18,J.D. Robb,,DARK IN DEATH,"Dark in Death (In Death, #46)",https://www.goodreads.com/author/show/17065.J_D_Robb?from_search=true&from_srp=true,4.3,22641.0,2018,"Silver Spring, Maryland, The United States","Silver Spring, Maryland, The United States",Point,"[-77.026088, 38.99066570000001]"
5446,2,New this week,STILL ME,Jojo Moyes,Pamela Dorman/Viking,Louisa Clark moves to New York and is torn between high society and the life she enjoys at a vintage clothing store.,2018-02-18,Jojo Moyes,,STILL ME,"Still Me (Me Before You, #3)",https://www.goodreads.com/author/show/281810.Jojo_Moyes?from_search=true&from_srp=true,4.12,199700.0,2018,"London, England, The United Kingdom","London, England, The United Kingdom",Point,"[-0.1275862, 51.5072178]"
5447,3,5 weeks on the list,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,2018-02-18,A.J. Finn,,THE WOMAN IN THE WINDOW,The Woman in the Window,https://www.goodreads.com/author/show/7992137.A_J_Finn?from_search=true&from_srp=true,3.95,748640.0,2018,,,,
5448,4,4 weeks on the list,THE WIFE BETWEEN US,Greer Hendricks and Sarah Pekkanen,St. Martin's,The story of a love triangle is told from several points of view.,2018-02-18,Greer Hendricks,Sarah Pekkanen,THE WIFE BETWEEN US,The Wife Between Us,https://www.goodreads.com/author/show/16935182.Greer_Hendricks?from_search=true&from_srp=true,3.85,373194.0,2018,,,,
5449,5,15 weeks on the list,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,2018-02-18,Celeste Ng,,LITTLE FIRES EVERYWHERE,Little Fires Everywhere,https://www.goodreads.com/author/show/164692.Celeste_Ng?from_search=true&from_srp=true,4.08,1133137.0,2018,The United States,The United States,Point,"[-95.712891, 37.09024]"
5450,6,2 weeks on the list,FALL FROM GRACE,Danielle Steel,Delacorte,A widow left out of her huband's will tries to make a new life as a fashion designer.,2018-02-18,Danielle Steel,,FALL FROM GRACE,Fall from Grace,https://www.goodreads.com/author/show/14255.Danielle_Steel?from_search=true&from_srp=true,4.03,9184.0,2018,"New York, New York, The United States","New York, New York, The United States",Point,"[-74.0059728, 40.7127753]"
5451,7,11 weeks on the list,READY PLAYER ONE,Ernest Cline,Broadway,"It’s 2044, life on a resource-depleted Earth has grown increasingly grim, and the key to a vast fortune is hidden in a virtual-reality world.",2018-02-18,Ernest Cline,,READY PLAYER ONE,"Ready Player One (Ready Player One, #1)",https://www.goodreads.com/author/show/31712.Ernest_Cline?from_search=true&from_srp=true,4.23,1131644.0,2018,"Ashland, Ohio, The United States","Ashland, Ohio, The United States",Point,"[-82.3182178, 40.8686675]"
5452,8,19 weeks on the list,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,2018-02-18,Lisa Wingate,,BEFORE WE WERE YOURS,Before We Were Yours,https://www.goodreads.com/author/show/178832.Lisa_Wingate?from_search=true&from_srp=true,4.4,577881.0,2018,,,,
5453,9,18 weeks on the list,ORIGIN,Dan Brown,Doubleday,A symbology professor goes on a perilous quest with a beautiful museum director.,2018-02-18,Dan Brown,,ORIGIN,"Origin (Robert Langdon, #5)",https://www.goodreads.com/author/show/630.Dan_Brown?from_search=true&from_srp=true,3.89,321016.0,2018,"Exeter, New Hampshire, The United States","Exeter, New Hampshire, The United States",Point,"[-70.9477546, 42.9814292]"
5454,10,New this week,BEYOND DANGER,Kat Martin,Zebra,The second book in the Texas Trilogy series.,2018-02-18,Kat Martin,,BEYOND DANGER,"Beyond Danger (Texas Trilogy, #2)",https://www.goodreads.com/author/show/49381.Kat_Martin?from_search=true&from_srp=true,4.05,2169.0,2018,"Tulare, California, The United States","Tulare, California, The United States",Point,"[-119.3473379, 36.2077288]"
5455,11,New this week,THE GRAVE'S A FINE AND PRIVATE PLACE,Alan Bradley,Delacorte,"Flavia de Luce, a young British sleuth, gets involved in solving a murder after experiencing a family tragedy.",2018-02-18,Alan Bradley,,THE GRAVE'S A FINE AND PRIVATE PLACE,"The Grave's a Fine and Private Place (Flavia de Luce, #9)",https://www.goodreads.com/author/show/1074866.Alan_Bradley?from_search=true&from_srp=true,3.98,19139.0,2018,"Toronto, Canada","Toronto, Canada",Point,"[-79.3831843, 43.653226]"
5456,12,18 weeks on the list,THE SUN AND HER FLOWERS,Rupi Kaur,Andrews McMeel,"A new collection of poetry from the author of ""Milk and Honey.""",2018-02-18,Rupi Kaur,,THE SUN AND HER FLOWERS,the sun and her flowers,https://www.goodreads.com/author/show/8075577.Rupi_Kaur?from_search=true&from_srp=true,4.1,328194.0,2018,,,,
5457,13,6 weeks on the list,16TH SEDUCTION,James Patterson and Maxine Paetro,"Little, Brown","In San Francisco, Detective Lindsay Boxer and the Women’s Murder Club face their toughest case yet.",2018-02-18,James Patterson,Maxine Paetro,16TH SEDUCTION,"16th Seduction (Women's Murder Club, #16)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.11,38063.0,2018,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
5458,14,2 weeks on the list,JUDGMENT ROAD,Christine Feehan,Berkley,A killer must choose between his motorcycle club and a woman who works in a nearby bar.,2018-02-18,Christine Feehan,,JUDGMENT ROAD,"Judgment Road (Torpedo Ink, #1)",https://www.goodreads.com/author/show/6268.Christine_Feehan?from_search=true&from_srp=true,4.17,9549.0,2018,The United States,The United States,Point,"[-95.712891, 37.09024]"
5459,15,51 weeks on the list,MILK AND HONEY,Rupi Kaur,Andrews McMeel,Poetic approaches to surviving adversity and loss.,2018-02-18,Rupi Kaur,,MILK AND HONEY,milk and honey,https://www.goodreads.com/author/show/8075577.Rupi_Kaur?from_search=true&from_srp=true,3.99,690672.0,2018,,,,
5460,1,New this week,THE GREAT ALONE,Kristin Hannah,St. Martin's,"A former prisoner of war returns from Vietnam and moves his family to Alaska, where they face tough conditions.",2018-02-25,Kristin Hannah,,,,,,,2018,,,,
5461,2,New this week,AN AMERICAN MARRIAGE,Tayari Jones,Algonquin,A newlywed couple's relationship is tested when the husband is sentenced to 12 years in prison.,2018-02-25,Tayari Jones,,AN AMERICAN MARRIAGE,An American Marriage,https://www.goodreads.com/author/show/292970.Tayari_Jones?from_search=true&from_srp=true,3.94,350924.0,2018,"Atlanta, Georgia, The United States","Atlanta, Georgia, The United States",Point,"[-84.38768449999999, 33.748752]"
5462,3,New this week,LOOK FOR ME,Lisa Gardner,Dutton,Sergeant Detective D.D. Warren teams up with a torture survivor to find a missing teenager whose family members were gunned down.,2018-02-25,Lisa Gardner,,LOOK FOR ME,"Look For Me (Detective D.D. Warren, #10)",https://www.goodreads.com/author/show/18282.Lisa_Gardner?from_search=true&from_srp=true,3.98,32199.0,2018,The United States,The United States,Point,"[-95.712891, 37.09024]"
5463,4,6 weeks on the list,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,2018-02-25,A.J. Finn,,THE WOMAN IN THE WINDOW,The Woman in the Window,https://www.goodreads.com/author/show/7992137.A_J_Finn?from_search=true&from_srp=true,3.95,748640.0,2018,,,,
5464,5,2 weeks on the list,STILL ME,Jojo Moyes,Pamela Dorman/Viking,Louisa Clark moves to New York and is torn between high society and the life she enjoys at a vintage clothing store.,2018-02-25,Jojo Moyes,,STILL ME,"Still Me (Me Before You, #3)",https://www.goodreads.com/author/show/281810.Jojo_Moyes?from_search=true&from_srp=true,4.12,199700.0,2018,"London, England, The United Kingdom","London, England, The United Kingdom",Point,"[-0.1275862, 51.5072178]"
5465,6,2 weeks on the list,DARK IN DEATH,J.D. Robb,St. Martin's,Lieutenant Eve Dallas must find a killer inspired by police thrillers before another victim is murdered.,2018-02-25,J.D. Robb,,DARK IN DEATH,"Dark in Death (In Death, #46)",https://www.goodreads.com/author/show/17065.J_D_Robb?from_search=true&from_srp=true,4.3,22641.0,2018,"Silver Spring, Maryland, The United States","Silver Spring, Maryland, The United States",Point,"[-77.026088, 38.99066570000001]"
